   1	16	  -1	       226	       43	115.555	 46.6167	     960
   1	16	  -1	       220	       42	116.259	 46.7682	    1020
   1	16	  -1	       209	       40	134.986	  47.218	    1110
   1	16	  -1	       204	       39	145.694	 47.5291	    1200
   1	16	  -1	       198	       38	163.105	   47.99	    1290
   1	16	  -1	       192	       37	179.727	 48.4536	    1380
   1	16	  -1	       188	       36	193.581	 49.0157	    1470
   1	16	  -1	       188	       36	208.074	 49.2646	 1529.96
   1	32	  -1	       452	    88.75	131.842	 46.8844	     960
   1	32	  -1	       433	       85	137.633	 46.9165	    1020
   1	32	  -1	       407	       80	150.594	 47.8867	    1110
   1	32	  -1	       383	       75	179.003	 48.8958	    1200
   1	32	  -1	       367	       72	199.238	  49.653	    1290
   1	32	  -1	       352	       69	224.119	 50.2273	    1380
   1	32	  -1	       340	    66.75	245.732	 51.2971	 1469.98
   1	32	  -1	       336	       66	249.525	 51.5015	  1527.6
   2	16	  -1	       154	       28	96.6039	 46.1104	     960
   2	16	  -1	       150	       27	101.832	 46.4145	    1020
   2	16	  -1	       145	       26	107.633	 46.8027	    1110
   2	16	  -1	       141	     25.5	124.374	 47.5385	    1200
   2	16	  -1	       139	       25	 129.18	 47.9965	    1290
   2	16	  -1	       135	     24.5	141.388	 48.5978	    1380
   2	16	  -1	       133	       24	155.879	  48.989	    1470
   2	16	  -1	       133	       24	157.165	 48.7353	 1529.89
   2	32	  -1	       259	       49	119.359	 47.0965	     960
   2	32	  -1	       249	       47	 126.07	 47.1807	    1020
   2	32	  -1	       237	       45	139.785	 47.9747	    1110
   2	32	  -1	       227	       43	160.762	 48.9361	    1200
   2	32	  -1	       222	       42	 179.37	 49.9641	    1290
   2	32	  -1	       211	       40	198.326	 50.8929	    1380
   2	32	  -1	       206	       39	214.127	  51.878	 1469.77
   2	32	  -1	       201	       38	221.022	 51.6478	 1526.87
1	16	-0.3	219	41	126.834	47.6723	950.319
1	32	-0.7	447	87	146.108	50.0152	978.048
2	16	-1.3	151	25	112.222	47.7124	979.35
2	32	-1.7	251	47	137.958	51.4762	1028.46
4	16	-3.3	126	18	75.5337	43.4563	903.873
4	32	-3.7	173	28.25	112.679	47.013	1066.59
8	16	-7.3	141	17.5	67.6943	39.9051	918.583
8	32	-7.7	165	21.25	87.2421	42.7073	1027.78
